Gene ID	Gene Name	poly(A)+ Half-life	Total Half-life	Lower limit	Upper limit
YAL001C	TFC3	2.7	10.8	7.8	19.0
YAL003W	EFB1	7.1	43.4	31.8	55.6
YAL007C	ERP2	4.0	10.1	8.2	13.8
YAL008W	FUN14	12.5	27.5	13.4	57.3
YAL009W	SPO7	2.4	4.4	3.9	6.2
YAL010C	MDM10	2.3	5.8	4.9	10.4
YAL011W	SWC3	1.9	4.8	3.6	9.8
YAL012W	CYS3	5.5	55.9	37.9	85.2
YAL013W	DEP1	3.7	4.3	3.6	8.6
YAL014C	SYN8	4.4	8.9	6.8	14.0
YAL015C	NTG1	4.7	7.1	5.5	11.3
YAL016W	TPD3	6.9	28.3	20.3	38.0
YAL019W	FUN30	2.6	10.4	8.2	16.8
YAL020C	ATS1	2.5	8.0	6.1	11.8
YAL022C	FUN26	2.5	5.8	5.1	7.5
YAL023C	PMT2	4.2	12.7	10.3	16.5
YAL024C	LTE1	4.4	4.8	4.0	9.9
YAL025C	MAK16	1.1	2.5	2.4	3.2
YAL026C	DRS2	2.6	6.3	5.2	8.5
YAL027W	SAW1	2.5	4.8	3.6	8.9
YAL029C	MYO4	3.1	22.0	13.8	31.5
YAL030W	SNC1	12.4	28.5	15.9	53.9
YAL031C	GIP4	3.3	6.9	5.8	11.6
YAL032C	PRP45	4.2	10.9	7.0	15.9
YAL033W	POP5	2.0	4.2	3.5	5.2
YAL034C	FUN19	6.0	7.1	5.9	11.5
YAL034W-A	MTW1	2.7	3.4	2.9	5.9
YAL035W	FUN12	2.4	21.4	12.9	40.2
YAL036C	RBG1	2.6	9.1	7.0	14.4
YAL039C	CYC3	2.8	5.3	4.8	7.4
YAL040C	CLN3	2.4	3.4	2.9	5.6
YAL042W	ERV46	4.6	15.5	12.9	19.0
YAL043C	PTA1	2.5	5.3	4.4	10.2
YAL044C	GCV3	8.2	28.0	22.0	42.0
YAL046C	AIM1	3.0	9.9	7.9	15.5
YAL047C	SPC72	1.8	3.6	3.3	5.1
YAL048C	GEM1	3.4	4.8	4.1	8.4
YAL049C	AIM2	6.6	25.2	18.5	40.6
YAL051W	OAF1	2.3	6.0	4.5	12.2
YAL053W	FLC2	2.6	5.3	4.8	7.2
YAL055W	PEX22	4.5	6.8	4.9	10.8
YAL056W	GPB2	3.5	4.9	4.5	7.5
YAL058W	CNE1	3.6	9.9	7.3	14.1
YAL059W	ECM1	1.1	2.1	1.9	2.6
YAL063C	FLO9	4.1	11.0	8.0	16.3
YAR002C-A	ERP1	5.1	17.4	13.8	21.2
YAR002W	NUP60	2.4	5.4	4.6	9.1
YAR003W	SWD1	2.4	4.9	4.1	9.7
YAR007C	RFA1	6.9	10.2	7.1	19.8
YAR008W	SEN34	1.9	3.1	2.8	5.2
YAR014C	BUD14	1.9	4.2	3.8	5.9
YAR015W	ADE1	2.9	5.2	4.7	7.4
YAR018C	KIN3	4.5	4.4	4.0	6.7
YAR019C	CDC15	6.9	15.3	10.9	22.6
YAR027W	UIP3	19.3	29.8	15.6	57.5
YAR031W	PRM9	5.4	9.5	6.1	17.2
YAR033W	MST28	3.6	4.5	3.6	6.4
YBL001C	ECM15	7.1	37.0	25.7	60.5
YBL002W	HTB2	2.0	3.7	3.5	4.4
YBL003C	HTA2	2.2	4.3	3.8	5.3
YBL004W	UTP20	2.6	10.6	8.5	16.3
YBL005W	PDR3	2.3	3.7	3.5	5.5
YBL006C	LDB7	2.5	4.5	3.9	6.7
YBL007C	SLA1	7.0	32.3	25.1	45.4
YBL008W	HIR1	1.8	4.8	3.9	7.8
YBL009W	ALK2	1.7	3.7	3.4	5.2
YBL011W	SCT1	2.3	4.6	4.0	6.9
YBL014C	RRN6	1.2	2.3	2.2	3.3
YBL015W	ACH1	4.0	9.7	6.9	14.0
YBL016W	FUS3	3.2	4.1	3.9	5.6
YBL017C	PEP1	4.8	17.6	12.7	26.3
YBL018C	POP8	1.8	5.5	4.1	8.8
YBL019W	APN2	4.7	9.1	6.5	14.2
YBL020W	RFT1	2.0	5.2	4.9	7.4
YBL021C	HAP3	1.2	5.5	3.0	9.6
YBL022C	PIM1	4.6	54.2	32.0	102.8
YBL023C	MCM2	2.6	6.5	5.4	11.0
YBL024W	NCL1	1.3	4.7	4.2	7.5
YBL025W	RRN10	4.4	3.7	2.9	7.6
YBL026W	LSM2	2.2	4.4	3.8	6.0
YBL027W	RPL19B	3.7	13.4	11.5	16.4
YBL028C		1.0	2.0	1.9	2.5
YBL029C-A		4.1	7.2	5.0	10.6
YBL030C	PET9	2.8	10.5	8.4	16.0
YBL031W	SHE1	2.0	2.7	2.6	4.0
YBL032W	HEK2	2.2	3.3	3.2	4.1
YBL033C	RIB1	4.3	5.4	4.7	7.8
YBL035C	POL12	3.6	7.0	5.1	12.2
YBL036C		4.4	14.6	10.2	22.6
YBL038W	MRPL16	4.4	6.7	5.2	11.0
YBL039C	URA7	1.6	9.3	7.0	13.5
YBL040C	ERD2	6.6	10.6	7.9	16.8
YBL041W	PRE7	4.4	13.4	9.6	19.9
YBL042C	FUI1	0.8	1.3	1.5	2.2
YBL045C	COR1	7.5	26.2	20.8	33.2
YBL050W	SEC17	5.1	8.3	5.3	14.1
YBL052C	SAS3	1.9	2.7	2.6	3.9
YBL056W	PTC3	3.6	8.6	7.3	14.5
YBL057C	PTH2	7.0	13.0	9.2	20.8
YBL058W	SHP1	8.2	18.2	12.2	26.0
YBL059C-A	CMC2	3.5	5.9	4.9	7.7
YBL060W	YEL1	3.4	5.0	4.3	10.7
YBL061C	SKT5	2.7	5.9	4.3	11.5
YBL067C	UBP13	2.6	7.4	5.7	14.3
YBL068W	PRS4	2.0	4.5	4.1	5.9
YBL069W	AST1	1.7	3.2	2.8	4.0
YBL071W-A	KTI11	4.4	9.3	6.5	13.9
YBL072C	RPS8A	4.7	20.5	15.9	26.3
YBL074C	AAR2	7.7	9.2	7.3	15.6
YBL076C	ILS1	2.4	46.4	31.6	83.2
YBL079W	NUP170	3.5	7.1	5.4	14.2
YBL080C	PET112	4.1	6.0	4.8	8.6
YBL082C	ALG3	2.5	7.5	6.9	8.6
YBL084C	CDC27	8.6	11.2	7.5	22.7
YBL085W	BOI1	4.3	7.9	6.6	12.2
YBL087C	RPL23A	4.8	30.1	24.3	37.7
YBL088C	TEL1	8.2	11.7	7.9	22.7
YBL089W	AVT5	3.7	4.9	4.4	8.7
YBL090W	MRP21	2.7	3.7	3.3	5.3
YBL091C	MAP2	6.1	15.7	11.1	21.5
YBL091C-A	SCS22	2.8	6.6	5.0	10.4
YBL092W	RPL32	4.5	28.7	21.9	40.2
YBL093C	ROX3	2.7	3.7	3.3	6.2
YBL097W	BRN1	25.2	5.3	4.3	10.8
YBL099W	ATP1	4.0	34.8	25.4	50.1
YBL102W	SFT2	4.3	8.5	6.7	12.6
YBL103C	RTG3	3.9	5.0	4.0	8.6
YBL104C	SEA4	1.9	3.6	2.9	5.6
YBL105C	PKC1	3.5	18.0	9.3	35.3
YBL107C	MIC23	1.9	3.6	3.2	5.7
YBR001C	NTH2	17.8	40.1	21.6	141.8
YBR002C	RER2	2.3	3.6	3.1	5.4
YBR003W	COQ1	6.6	7.9	6.3	11.5
YBR004C	GPI18	1.1	2.4	2.3	3.0
YBR005W	RCR1	2.4	5.0	4.3	6.2
YBR006W	UGA2	5.3	17.1	13.1	21.6
YBR007C	DSF2	7.6	8.6	6.9	13.7
YBR008C	FLR1	6.5	7.8	5.7	15.3
YBR009C	HHF1	1.9	4.4	3.8	5.7
YBR010W	HHT1	1.9	3.6	3.4	4.9
YBR014C	GRX7	8.9	21.8	16.5	33.8
YBR015C	MNN2	2.1	4.7	4.4	6.2
YBR025C	OLA1	8.1	32.4	23.0	49.7
YBR028C	YPK3	2.8	3.2	3.0	4.6
YBR029C	CDS1	3.5	4.5	4.0	7.5
YBR030W	RKM3	1.8	3.3	3.1	4.6
YBR031W	RPL4A	3.1	12.8	10.1	16.9
YBR034C	HMT1	0.8	1.2	1.3	1.9
YBR035C	PDX3	6.3	15.4	12.4	21.9
YBR036C	CSG2	4.0	7.4	6.2	12.8
YBR037C	SCO1	3.9	5.7	4.7	7.8
YBR038W	CHS2	3.7	5.4	4.5	7.1
YBR039W	ATP3	3.7	8.1	6.7	13.2
YBR041W	FAT1	6.1	6.8	5.4	11.3
YBR042C	CST26	2.6	4.8	3.9	7.4
YBR043C	QDR3	2.6	4.9	4.2	7.4
YBR044C	TCM62	4.0	5.9	4.7	10.6
YBR046C	ZTA1	5.8	33.5	23.3	49.7
YBR048W	RPS11B	4.3	25.3	21.3	31.0
YBR049C	REB1	6.7	38.5	22.2	62.8
YBR052C	RFS1	9.3	20.6	13.7	35.2
YBR055C	PRP6	2.2	4.6	4.0	7.0
YBR056W		11.9	44.3	27.2	131.3
YBR057C	MUM2	5.1	9.3	7.1	14.6
YBR058C	UBP14	3.8	19.0	14.1	24.6
YBR058C-A	TSC3	5.2	11.3	9.0	16.5
YBR060C	ORC2	4.4	7.5	5.7	11.7
YBR061C	TRM7	1.8	3.1	3.0	4.0
YBR068C	BAP2	2.0	3.5	3.1	5.2
YBR069C	TAT1	3.7	5.5	4.6	9.7
YBR070C	ALG14	4.5	5.7	4.9	7.7
YBR071W		11.4	25.1	16.8	37.7
YBR073W	RDH54	3.2	7.1	5.5	11.9
YBR074W	PFF1	2.4	12.0	9.5	17.9
YBR077C	SLM4	2.6	4.7	4.3	6.3
YBR078W	ECM33	3.6	32.8	24.7	40.9
YBR079C	RPG1	3.0	31.3	19.7	46.7
YBR080C	SEC18	3.8	10.2	6.7	20.5
YBR083W	TEC1	10.3	13.1	8.5	21.5
YBR084C-A	RPL19A	4.6	30.8	24.7	36.8
YBR084W	MIS1	4.3	34.7	21.6	48.9
YBR086C	IST2	7.2	8.1	6.9	11.0
YBR087W	RFC5	2.6	3.9	3.6	5.6
YBR088C	POL30	2.1	3.2	2.7	4.4
YBR089C-A	NHP6B	2.2	4.1	3.8	5.2
YBR091C	TIM12	2.5	3.9	3.5	5.5
YBR092C	PHO3	3.0	10.2	7.7	14.0
YBR093C	PHO5	3.7	5.9	4.9	12.6
YBR094W	PBY1	2.7	11.5	7.5	19.5
YBR102C	EXO84	7.3	20.6	14.7	29.7
YBR103W	SIF2	9.8	15.1	12.0	20.5
YBR104W	YMC2	1.0	2.2	2.2	3.1
YBR105C	VID24	2.4	3.7	3.4	6.2
YBR106W	PHO88	3.5	9.5	8.0	12.7
YBR109C	CMD1	8.2	29.8	23.4	38.6
YBR110W	ALG1	2.3	4.8	4.3	7.5
YBR111C	YSA1	8.1	19.9	17.0	25.6
YBR112C	CYC8	2.5	8.2	5.9	13.8
YBR114W	RAD16	4.4	11.0	8.2	17.4
YBR115C	LYS2	3.3	33.8	20.4	58.4
YBR119W	MUD1	3.6	7.1	4.8	14.0
YBR120C	CBP6	4.8	5.8	4.8	10.4
YBR121C	GRS1	3.8	33.5	25.1	43.6
YBR122C	MRPL36	4.3	4.6	4.1	7.0
YBR123C	TFC1	2.3	4.7	4.1	8.4
YBR125C	PTC4	4.6	8.7	5.8	14.3
YBR128C	ATG14	12.5	14.1	10.1	22.0
YBR129C	OPY1	2.4	4.6	3.4	7.6
YBR130C	SHE3	4.9	5.9	4.8	9.4
YBR132C	AGP2	4.8	9.0	6.1	14.5
YBR133C	HSL7	3.7	7.1	5.5	13.1
YBR135W	CKS1	4.3	11.1	9.1	15.7
YBR136W	MEC1	13.7	30.9	16.1	50.9
YBR137W		6.1	14.2	9.1	23.2
YBR140C	IRA1	17.9	52.0	31.9	97.0
YBR141C	BMT2	1.5	2.7	2.6	4.0
YBR142W	MAK5	1.9	4.8	4.3	6.2
YBR143C	SUP45	2.1	4.2	3.7	5.9
YBR145W	ADH5	1.0	2.0	1.9	2.7
YBR146W	MRPS9	3.5	4.9	4.4	7.5
YBR149W	ARA1	9.0	22.9	15.3	35.9
YBR151W	APD1	3.7	5.2	4.5	8.3
YBR153W	RIB7	1.1	3.5	3.1	7.0
YBR154C	RPB5	2.1	3.6	3.2	6.0
YBR155W	CNS1	2.7	5.7	4.9	8.3
YBR158W	AMN1	3.6	4.0	3.5	7.3
YBR159W	IFA38	4.3	8.5	6.7	12.2
YBR160W	CDC28	11.9	13.5	10.0	20.8
YBR161W	CSH1	12.8	16.1	10.9	32.4
YBR162C	TOS1	3.4	21.5	14.8	30.5
YBR162W-A	YSY6	4.5	13.0	10.1	16.9
YBR163W	EXO5	4.5	13.5	7.3	25.1
YBR164C	ARL1	3.1	6.4	5.8	9.0
YBR165W	UBS1	4.9	4.7	4.1	7.7
YBR166C	TYR1	2.3	4.9	4.0	8.0
YBR170C	NPL4	10.8	59.4	36.2	113.2
YBR171W	SEC66	4.2	5.8	4.3	9.9
YBR172C	SMY2	0.9	2.3	2.0	4.9
YBR173C	UMP1	5.2	16.6	11.8	25.7
YBR177C	EHT1	4.5	12.0	9.8	16.2
YBR179C	FZO1	2.4	5.0	4.3	8.4
YBR181C	RPS6B	3.7	21.3	15.9	28.3
YBR182C	SMP1	4.5	6.9	5.4	13.2
YBR183W	YPC1	4.0	7.1	5.5	11.1
YBR185C	MBA1	2.6	3.9	3.4	5.4
YBR186W	PCH2	1.9	4.0	3.2	5.5
YBR187W	GDT1	2.1	4.1	3.8	5.2
YBR188C	NTC20	2.3	5.1	4.0	6.6
YBR189W	RPS9B	4.2	13.2	11.2	16.6
YBR191W	RPL21A	3.5	21.5	17.4	27.1
YBR192W	RIM2	2.1	3.3	2.8	5.6
YBR193C	MED8	4.1	11.2	7.8	19.9
YBR194W	AIM4	3.6	3.4	2.8	6.0
YBR195C	MSI1	3.7	5.7	4.2	9.8
YBR197C		2.6	4.6	3.9	9.1
YBR199W	KTR4	7.7	18.7	12.4	27.4
YBR201W	DER1	3.8	6.9	4.8	11.7
YBR202W	MCM7	2.2	4.0	3.6	7.0
YBR203W	COS111	6.9	13.3	9.2	21.6
YBR204C	LDH1	6.8	12.4	10.3	16.4
YBR205W	KTR3	3.6	11.5	10.5	14.0
YBR207W	FTH1	3.9	6.8	5.2	12.1
YBR208C	DUR1,2	3.7	40.3	28.1	55.4
YBR210W	ERV15	4.8	5.9	5.2	8.6
YBR211C	AME1	8.3	9.3	7.6	14.5
YBR212W	NGR1	8.0	38.5	23.0	71.3
YBR213W	MET8	3.7	3.4	3.0	5.2
YBR216C	YBP1	7.2	25.7	15.9	43.9
YBR217W	ATG12	4.3	12.0	7.7	23.1
YBR218C	PYC2	2.3	22.3	15.8	29.9
YBR221C	PDB1	5.8	47.0	37.0	61.8
YBR222C	PCS60	3.1	15.1	12.4	20.2
YBR223C	TDP1	3.4	4.5	4.0	6.6
YBR227C	MCX1	3.9	10.2	7.4	18.0
YBR228W	SLX1	6.4	16.8	10.0	27.9
YBR229C	ROT2	4.8	24.6	19.1	32.6
YBR230C	OM14	9.1	17.4	12.5	24.5
YBR233W	PBP2	4.6	7.6	5.6	14.0
YBR233W-A	DAD3	1.9	2.2	2.1	3.3
YBR234C	ARC40	12.7	59.5	36.2	153.0
YBR235W	VHC1	4.2	9.8	7.0	17.4
YBR236C	ABD1	3.5	7.2	5.8	12.3
YBR237W	PRP5	7.9	20.7	12.1	36.0
YBR238C		1.4	6.6	5.5	14.5
YBR240C	THI2	3.4	6.3	5.2	9.3
YBR243C	ALG7	2.7	6.3	5.6	8.4
YBR244W	GPX2	3.8	10.3	7.5	13.0
YBR245C	ISW1	2.1	15.6	10.8	26.9
YBR246W	RRT2	2.7	7.1	5.8	11.9
YBR247C	ENP1	1.6	3.4	3.1	5.2
YBR248C	HIS7	2.3	8.0	6.8	13.2
YBR249C	ARO4	3.9	19.2	16.2	23.6
YBR251W	MRPS5	2.6	4.1	3.7	5.7
YBR252W	DUT1	3.3	6.9	5.7	8.9
YBR253W	SRB6	4.2	9.8	7.0	13.2
YBR254C	TRS20	1.2	2.8	2.7	3.8
YBR255W	MTC4	3.8	8.4	5.8	14.8
YBR256C	RIB5	5.1	10.5	8.2	14.8
YBR257W	POP4	1.3	2.0	1.9	3.1
YBR258C	SHG1	2.0	6.1	5.0	11.2
YBR260C	RGD1	2.3	4.7	4.1	10.2
YBR261C	TAE1	3.6	7.6	6.6	9.5
YBR262C	AIM5	2.0	4.1	3.1	6.3
YBR263W	SHM1	5.5	54.3	37.1	98.0
YBR264C	YPT10	3.5	4.9	4.2	8.2
YBR265W	TSC10	2.1	2.9	2.8	3.8
YBR267W	REI1	0.7	0.9	1.0	1.2
YBR268W	MRPL37	2.2	4.8	4.2	6.1
YBR271W	EFM2	1.4	2.9	2.7	3.8
YBR272C	HSM3	6.1	8.4	6.3	14.7
YBR273C	UBX7	5.9	10.9	7.8	17.4
YBR274W	CHK1	2.2	4.4	3.7	6.2
YBR275C	RIF1	3.7	8.2	6.2	14.5
YBR276C	PPS1	3.6	6.2	4.8	11.4
YBR278W	DPB3	6.4	8.4	6.4	12.8
YBR279W	PAF1	7.9	18.5	10.2	35.4
YBR282W	MRPL27	4.2	8.3	6.9	12.6
YBR283C	SSH1	4.3	10.4	7.8	15.1
YBR286W	APE3	8.3	30.0	23.2	40.2
YBR288C	APM3	4.3	11.2	7.3	21.5
YBR290W	BSD2	7.1	16.7	11.6	23.7
YBR294W	SUL1	3.5	6.0	5.0	10.7
YBR295W	PCA1	2.0	3.5	3.1	5.3
YBR297W	MAL33	4.6	8.2	5.9	14.8
YCL001W	RER1	3.4	6.8	6.1	8.5
YCL004W	PGS1	4.6	12.0	8.2	18.9
YCL005W	LDB16	2.0	5.1	3.6	10.0
YCL008C	STP22	4.5	11.5	8.3	20.3
YCL009C	ILV6	6.2	39.3	30.5	55.9
YCL010C	SGF29	4.4	9.7	7.5	15.7
YCL011C	GBP2	5.2	17.4	11.6	26.1
YCL012C		2.6	9.1	6.6	16.9
YCL014W	BUD3	3.6	15.0	9.1	27.0
YCL016C	DCC1	1.9	2.9	2.7	4.4
YCL017C	NFS1	2.9	17.1	12.8	21.9
YCL018W	LEU2	2.2	3.6	3.2	5.3
YCL024W	KCC4	2.6	3.6	3.4	5.7
YCL025C	AGP1	1.0	2.8	2.7	4.5
YCL028W	RNQ1	5.8	40.7	28.5	58.2
YCL029C	BIK1	1.8	3.4	3.2	4.7
YCL030C	HIS4	2.9	13.3	10.3	21.4
YCL031C	RRP7	2.5	3.9	3.5	6.0
YCL032W	STE50	2.0	3.4	3.0	4.8
YCL033C	MXR2	7.9	21.4	14.2	38.8
YCL034W	LSB5	8.2	21.1	16.1	27.9
YCL035C	GRX1	22.6	58.9	32.0	195.2
YCL036W	GFD2	0.8	2.7	2.7	5.4
YCL038C	ATG22	2.8	7.4	5.1	12.9
YCL045C	EMC1	3.8	12.7	9.4	19.2
YCL047C	POF1	4.9	12.1	8.2	19.8
YCL051W	LRE1	8.3	11.3	8.7	18.2
YCL052C	PBN1	8.9	14.1	10.3	21.7
YCL054W	SPB1	1.2	3.1	2.8	5.1
YCL055W	KAR4	2.4	6.4	5.1	12.9
YCL056C	PEX34	2.7	6.3	4.5	11.5
YCL057C-A	MOS1	4.5	10.4	7.5	13.1
YCL057W	PRD1	5.0	29.2	18.8	45.1
YCL058C	FYV5	0.9	2.8	2.1	5.7
YCL059C	KRR1	3.7	8.6	7.7	10.0
YCL061C	MRC1	2.4	6.1	5.2	10.8
YCL063W	VAC17	2.3	2.3	2.1	3.9
YCR002C	CDC10	4.4	9.5	7.4	14.0
YCR003W	MRPL32	3.5	4.5	3.6	8.4
YCR004C	YCP4	10.1	52.3	36.8	79.7
YCR005C	CIT2	2.1	3.6	3.1	6.1
YCR008W	SAT4	3.9	6.8	5.7	13.2
