Gene	Expression	UWCounts	UWFrac
YAL008W	1920.0	122	0.204697986577
YBR255W	396.0	297	0.142514395393
YNL003C	521.0	149	0.174473067916
YBR135W	8780.0	45	0.0995575221239
YBR160W	6670.0	143	0.159598214286
YJL082W	4980.0	345	0.157175398633
YPL191C	2050.0	194	0.179297597043
YKL074C	4170.0	242	0.152874289324
YKL096W-A	1590000.0	31	0.111510791367
YIL124W	3670.0	149	0.166853303471
YKL048C	149.0	315	0.163891779396
YJL179W	721.0	45	0.136778115502
YBR152W	2510.0	87	0.0994285714286
YKL029C	10500.0	245	0.121951219512
YPL166W	752.0	107	0.166926677067
YKL052C	2840.0	89	0.101366742597
YHR025W	92600.0	127	0.118359739049
YOL034W	892.0	498	0.15178299299
YBL008W	846.0	387	0.15344964314
YIL062C	3060.0	50	0.10775862069
YOL116W	491.0	147	0.128048780488
YDR196C	1660.0	103	0.142068965517
YNR032W	1960.0	167	0.150994575045
YNR045W	450.0	206	0.140231449966
YNL288W	18800.0	146	0.130240856378
YNR018W	12000.0	66	0.0979228486647
YPL144W	2210.0	72	0.161434977578
YFR047C	2660.0	130	0.146561443067
YLR355C	883000.0	151	0.127211457456
YGR099W	638.0	355	0.171829622459
YLR300W	4280.0	207	0.153789004458
YCL028W	1140.0	131	0.107641741988
YJR140C	922.0	865	0.17488879903
YOR033C	672.0	303	0.143738140417
YOR062C	2010.0	127	0.157568238213
YBR043C	279.0	338	0.163363943934
YHR112C	1360.0	164	0.144366197183
YLR011W	1270.0	74	0.128695652174
YHR007C	73200.0	270	0.16959798995
YKR084C	2750.0	277	0.150953678474
YCR046C	4150.0	40	0.0785854616896
YKL204W	3240.0	234	0.123287671233
YOR266W	1460.0	219	0.17230527144
YDR393W	279.0	204	0.148905109489
YGR019W	573.0	199	0.140636042403
YBL033C	9520.0	110	0.106075216972
YNL229C	7060.0	163	0.153195488722
YNL277W	2240.0	179	0.122602739726
YDR077W	1630.0	119	0.117125984252
YKR064W	149.0	467	0.180239289849
YPL089C	736.0	257	0.126600985222
YGR277C	3610.0	131	0.142857142857
YDL139C	556.0	55	0.0819672131148
YDR246W	3130.0	81	0.122913505311
YOR288C	830.0	174	0.182008368201
YML054C	4590.0	247	0.139154929577
YLR179C	6230.0	69	0.114049586777
YOR141C	1010.0	398	0.150472589792
YGL044C	6350.0	129	0.144943820225
YER107C	1820.0	159	0.144940747493
YEL047C	7620.0	195	0.138101983003
YPR016C	18600.0	125	0.16960651289
YOR208W	149.0	413	0.183392539964
YDL055C	97100.0	165	0.152073732719
YML009C	2480.0	27	0.127358490566
YML072C	4280.0	687	0.148156135432
YDR142C	589.0	190	0.1685891748
YFL044C	2770.0	105	0.116022099448
YKL019W	396.0	118	0.124210526316
YJL130C	11000.0	1084	0.163154726069
YBL085W	1040.0	399	0.135622025833
YDR166C	3400.0	514	0.176329331046
YDR348C	1480.0	202	0.134756504336
YKL182W	91800.0	997	0.161982128351
YDR333C	339.0	348	0.160294795025
YKL018C-A	358.0	41	0.137123745819
YKL135C	2690.0	349	0.160091743119
YLR363C	6090.0	126	0.192073170732
YDR179C	358.0	80	0.16393442623
YLR431C	538.0	175	0.128581925055
YKR046C	2160.0	88	0.103407755582
YJR005W	1670.0	360	0.171265461465
YER030W	623.0	42	0.0911062906725
YIR026C	7570.0	146	0.133455210238
YJR072C	15200.0	121	0.104580812446
YPL009C	7700.0	434	0.139281129653
YDR268W	672.0	179	0.157155399473
YDL117W	377.0	414	0.155814828754
YMR293C	486.0	246	0.176470588235
YJL214W	623.0	339	0.19836161498
YIL105C	5190.0	308	0.149514563107
YML126C	34800.0	237	0.160677966102
YLR189C	396.0	588	0.163515016685
YIL150C	1860.0	224	0.130612244898
YBR212W	1540.0	266	0.131813676908
YJR109C	18000.0	565	0.168355184744
YCR044C	3050.0	191	0.178005591799
YLR254C	1540.0	65	0.114235500879
YGR085C	21200.0	64	0.12213740458
YPL105C	830.0	337	0.132208709298
YDR248C	504.0	87	0.149741824441
YGL154C	623.0	145	0.177261613692
YBR129C	1560.0	148	0.150101419878
YNL104C	6630.0	264	0.14201183432
YLR220W	2840.0	156	0.161157024793
YIL045W	996.0	258	0.159653465347
