Gene	PolyAHL	HL	UWCounts	UWFrac
YAL008W	12.5	27.5	122	0.204697986577
YBR255W	3.8	8.4	297	0.142514395393
YNL003C	2.4	4.7	149	0.174473067916
YBR135W	4.3	11.1	45	0.0995575221239
YBR160W	11.9	13.5	143	0.159598214286
YKL074C	1.4	2.5	242	0.152874289324
YJL077C	3.6	4.8	71	0.179746835443
YKL096W-A	4.4	27.5	31	0.111510791367
YKL048C	2.2	4.2	315	0.163891779396
YJL179W	2.9	6.3	45	0.136778115502
YKL029C	1.9	4.9	245	0.121951219512
YKL052C	2.6	3.5	89	0.101366742597
YHR025W	5.5	25.3	127	0.118359739049
YOL034W	2.5	4.8	498	0.15178299299
YBL008W	1.8	4.8	387	0.15344964314
YIL062C	8.9	17.3	50	0.10775862069
YOL116W	17.7	25.0	147	0.128048780488
YDR196C	6.7	14.1	103	0.142068965517
YNR032W	3.8	3.3	167	0.150994575045
YNR045W	4.2	7.3	206	0.140231449966
YML105C	2.6	4.7	122	0.148599269184
YNL288W	3.5	7.0	146	0.130240856378
YIL004C	2.2	7.3	64	0.14953271028
YNR018W	3.6	9.8	66	0.0979228486647
YPL144W	1.4	1.9	72	0.161434977578
YFR047C	7.9	24.3	130	0.146561443067
YLR355C	1.4	4.8	151	0.127211457456
YLR300W	1.2	2.7	207	0.153789004458
YCL028W	5.8	40.7	131	0.107641741988
YJR140C	3.5	14.0	865	0.17488879903
YBR043C	2.6	4.9	338	0.163363943934
YLR011W	3.2	4.4	74	0.128695652174
YHR007C	2.6	5.7	270	0.16959798995
YKR084C	4.1	14.1	277	0.150953678474
YCR046C	2.8	6.1	40	0.0785854616896
YOR266W	2.2	1.3	219	0.17230527144
YDR393W	3.8	6.2	204	0.148905109489
YGL171W	1.9	4.3	271	0.159976387249
YPR194C	2.5	3.6	537	0.203949867072
YGR019W	2.4	6.2	199	0.140636042403
YBL033C	4.3	5.4	110	0.106075216972
YLL057C	6.5	11.1	175	0.141357027464
YNL229C	2.8	5.0	163	0.153195488722
YMR040W	9.2	10.7	85	0.176348547718
YMR266W	2.9	6.1	539	0.188395665851
YPL089C	1.1	2.3	257	0.126600985222
YGR277C	4.1	16.2	131	0.142857142857
YDL139C	2.4	2.3	55	0.0819672131148
YDR246W	7.0	10.6	81	0.122913505311
YOR288C	9.7	14.9	174	0.182008368201
YGL044C	4.0	4.5	129	0.144943820225
YER107C	2.3	3.8	159	0.144940747493
YBR038W	3.7	5.4	491	0.169837426496
YPR016C	1.8	5.0	125	0.16960651289
YOR208W	2.5	4.6	413	0.183392539964
YDL055C	2.3	5.8	165	0.152073732719
YML009C	2.7	3.5	27	0.127358490566
YML072C	4.8	22.7	687	0.148156135432
YFL044C	5.2	23.4	105	0.116022099448
YKL019W	5.2	13.7	118	0.124210526316
YJL130C	4.0	31.2	1084	0.163154726069
YBL085W	4.3	7.9	399	0.135622025833
YDR348C	2.7	4.6	202	0.134756504336
YKL182W	2.7	33.8	997	0.161982128351
YDR333C	4.8	7.1	348	0.160294795025
YKL135C	4.4	13.9	349	0.160091743119
YLR363C	6.4	14.3	126	0.192073170732
YLR431C	2.0	3.0	175	0.128581925055
YKR046C	4.9	32.8	88	0.103407755582
YJR005W	4.4	7.5	360	0.171265461465
YJL116C	11.3	24.1	135	0.133267522211
YMR030W	15.3	16.1	165	0.146017699115
YER030W	5.7	20.5	42	0.0911062906725
YIR026C	4.0	7.9	146	0.133455210238
YJR072C	4.8	12.9	121	0.104580812446
YGL003C	7.8	14.7	255	0.15
YDR268W	2.4	4.5	179	0.157155399473
YGL192W	6.6	8.4	276	0.153163152053
YDL117W	2.0	3.4	414	0.155814828754
YMR131C	2.5	5.6	207	0.134853420195
YIL105C	10.7	24.9	308	0.149514563107
YML126C	3.2	27.0	237	0.160677966102
YLR189C	10.8	30.2	588	0.163515016685
YIL150C	1.7	2.4	224	0.130612244898
YBR212W	8.0	38.5	266	0.131813676908
YJR109C	1.4	32.1	565	0.168355184744
YCR044C	2.4	4.9	191	0.178005591799
YLR254C	4.5	6.5	65	0.114235500879
YGR085C	3.1	12.5	64	0.12213740458
YPL105C	4.3	13.8	337	0.132208709298
YGR145W	2.3	6.2	320	0.150730098917
YGL154C	5.1	9.2	145	0.177261613692
YBR129C	2.4	4.6	148	0.150101419878
YJR123W	3.3	16.1	80	0.118168389956
YKL099C	2.4	4.0	79	0.105053191489
YDR315C	3.3	8.7	147	0.173964497041
YNL104C	4.3	17.1	264	0.14201183432
YNL151C	1.8	3.1	105	0.139072847682
YLR220W	4.5	6.5	156	0.161157024793
YNL083W	11.1	23.7	242	0.16307277628
YMR238W	2.0	4.5	216	0.156976744186
YER168C	2.8	5.2	265	0.161585365854
YOR227W	8.3	16.2	588	0.157219251337
YOR081C	2.7	6.2	329	0.146287238773
YEL026W	3.3	11.3	62	0.163157894737
YDR021W	1.9	3.2	200	0.166805671393
YGL063W	2.1	2.7	140	0.125899280576
YPL212C	1.1	2.5	229	0.140146878825
YPR095C	3.6	4.9	583	0.158423913043
YOR310C	1.9	4.3	222	0.144625407166
YDR188W	2.2	8.1	189	0.115243902439
YAL027W	2.5	4.8	129	0.164331210191
YGL236C	0.9	2.5	226	0.112493777999
YDR017C	2.2	4.8	477	0.15133248731
YIL090W	1.9	3.3	307	0.20813559322
YBR183W	4.0	7.1	171	0.18
YOL048C	6.0	5.1	197	0.191634241245
YDR016C	4.9	5.5	34	0.119718309859
YEL004W	4.4	8.2	223	0.216926070039
YDR116C	4.3	5.7	126	0.147024504084
YDR122W	11.3	37.6	440	0.137758296807
YOL062C	3.7	6.7	217	0.147118644068
YNL234W	5.4	13.8	196	0.153125
YJL194W	1.1	2.6	229	0.148604802077
YOL015W	5.3	11.9	286	0.1625
YDL070W	1.9	3.1	291	0.151878914405
YOR241W	2.2	4.7	244	0.148238153098
YLR056W	1.8	3.8	175	0.159525979945
YMR054W	3.7	6.9	459	0.171781437126
YKL110C	5.4	9.1	138	0.146652497343
YNL255C	2.4	5.2	55	0.119305856833
YLR204W	3.6	4.5	28	0.0835820895522
YHR193C	6.2	22.9	49	0.0935114503817
YBL099W	4.0	34.8	255	0.15577275504
YJR035W	3.8	6.6	476	0.146146760823
YOR126C	3.4	4.7	110	0.153631284916
YGL027C	4.4	22.4	404	0.161535385846
YNL187W	3.6	5.6	142	0.132339235788
YCL045C	3.8	12.7	394	0.172655565294
YPR115W	6.4	38.5	459	0.141187326976
YHR088W	3.4	5.8	133	0.149943630214
YDL161W	4.5	9.7	150	0.109970674487
YJR055W	1.1	0.8	82	0.165991902834
YGL099W	1.7	6.8	291	0.151404786681
YFL030W	4.6	10.5	159	0.137424373379
YPL193W	2.3	5.0	159	0.138864628821
YNL005C	4.3	9.3	190	0.170403587444
YJR139C	6.7	58.0	188	0.174235403151
YBR133C	3.7	7.1	377	0.151832460733
YBR162C	3.4	21.5	200	0.146305779078
YGR260W	2.2	3.6	277	0.172693266833
YJL079C	4.7	15.4	111	0.123470522803
YGL019W	3.8	10.1	98	0.117224880383
YNL172W	3.4	6.8	922	0.175752954632
YPL160W	2.6	48.0	520	0.158924205379
YNL023C	4.0	16.1	383	0.132205730066
YIL126W	1.9	7.5	626	0.153468987497
