Gene	Expression	UWCounts	UWFrac
YAL008W	1920.0	37	0.185929648241
YBR255W	396.0	126	0.181294964029
YNL003C	521.0	57	0.2
YBR135W	8780.0	14	0.0927152317881
YBR160W	6670.0	41	0.137123745819
YJL082W	4980.0	116	0.158469945355
YPL191C	2050.0	64	0.17728531856
YKL074C	4170.0	103	0.195075757576
YKL096W-A	1590000.0	16	0.172043010753
YIL124W	3670.0	57	0.191275167785
YKL048C	149.0	133	0.207488299532
YJL179W	721.0	12	0.109090909091
YBR152W	2510.0	35	0.119863013699
YKL029C	10500.0	84	0.125373134328
YPL166W	752.0	40	0.18691588785
YKL052C	2840.0	46	0.156996587031
YHR025W	92600.0	45	0.125698324022
YOL034W	892.0	176	0.160877513711
YBL008W	846.0	148	0.17598097503
YIL062C	3060.0	14	0.0903225806452
YOL116W	491.0	59	0.154046997389
YDR196C	1660.0	27	0.111570247934
YNR032W	1960.0	53	0.143631436314
YNR045W	450.0	81	0.165306122449
YNL288W	18800.0	43	0.114973262032
YNR018W	12000.0	23	0.102222222222
YPL144W	2210.0	26	0.174496644295
YFR047C	2660.0	53	0.179054054054
YLR355C	883000.0	60	0.151515151515
YGR099W	638.0	105	0.152394775036
YLR300W	4280.0	84	0.187082405345
YCL028W	1140.0	67	0.165024630542
YJR140C	922.0	304	0.184354154033
YOR033C	672.0	112	0.159317211949
YOR062C	2010.0	41	0.152416356877
YBR043C	279.0	110	0.159420289855
YHR112C	1360.0	57	0.150395778364
YLR011W	1270.0	19	0.0989583333333
YHR007C	73200.0	99	0.186440677966
YKR084C	2750.0	98	0.160130718954
YCR046C	4150.0	8	0.0470588235294
YKL204W	3240.0	103	0.162717219589
YOR266W	1460.0	68	0.160377358491
YDR393W	279.0	60	0.131291028446
YGR019W	573.0	61	0.129237288136
YBL033C	9520.0	43	0.124277456647
YNL229C	7060.0	67	0.188732394366
YNL277W	2240.0	63	0.129363449692
YDR077W	1630.0	70	0.206489675516
YKR064W	149.0	155	0.179398148148
YPL089C	736.0	127	0.187592319055
YGR277C	3610.0	40	0.130718954248
YDL139C	556.0	22	0.0982142857143
YDR246W	3130.0	27	0.122727272727
YOR288C	830.0	66	0.206896551724
YML054C	4590.0	93	0.157094594595
YLR179C	6230.0	28	0.138613861386
YOR141C	1010.0	141	0.159863945578
YGL044C	6350.0	48	0.161616161616
YER107C	1820.0	68	0.185792349727
YEL047C	7620.0	62	0.131634819533
YPR016C	18600.0	49	0.19918699187
YOR208W	149.0	167	0.222370173103
YDL055C	97100.0	59	0.162983425414
YML009C	2480.0	11	0.154929577465
YML072C	4280.0	260	0.168175937904
YDR142C	589.0	72	0.191489361702
YFL044C	2770.0	38	0.12582781457
YKL019W	396.0	39	0.123028391167
YJL130C	11000.0	421	0.19006772009
YBL085W	1040.0	174	0.177370030581
YDR166C	3400.0	186	0.191358024691
YDR348C	1480.0	98	0.196
YKL182W	91800.0	353	0.172027290448
YDR333C	339.0	127	0.175414364641
YKL018C-A	358.0	10	0.1
YKL135C	2690.0	112	0.154057771664
YLR363C	6090.0	53	0.24200913242
YDR179C	358.0	21	0.128834355828
YLR431C	538.0	60	0.132158590308
YKR046C	2160.0	34	0.119718309859
YJR005W	1670.0	106	0.151212553495
YER030W	623.0	20	0.12987012987
YIR026C	7570.0	48	0.131506849315
YJR072C	15200.0	39	0.10103626943
YPL009C	7700.0	171	0.1645813282
YDR268W	672.0	62	0.163157894737
YDL117W	377.0	154	0.17381489842
YMR293C	486.0	81	0.174193548387
YJL214W	623.0	132	0.231578947368
YIL105C	5190.0	113	0.164483260553
YML126C	34800.0	88	0.178861788618
YLR189C	396.0	210	0.175145954962
YIL150C	1860.0	81	0.141608391608
YBR212W	1540.0	114	0.169390787519
YJR109C	18000.0	211	0.188561215371
YCR044C	3050.0	49	0.13687150838
YLR254C	1540.0	22	0.115789473684
YGR085C	21200.0	27	0.154285714286
YPL105C	830.0	147	0.172941176471
YDR248C	504.0	28	0.144329896907
YGL154C	623.0	46	0.168498168498
YBR129C	1560.0	62	0.188449848024
YNL104C	6630.0	116	0.187096774194
YLR220W	2840.0	55	0.170278637771
YIL045W	996.0	99	0.183673469388
YNL083W	1170.0	90	0.181818181818
YMR238W	2950.0	92	0.200435729847
YER168C	13500.0	91	0.166361974406
YPL265W	432.0	130	0.213464696223
YOR227W	195.0	245	0.196471531676
YOR081C	358.0	114	0.152
YDR021W	3090.0	67	0.1675
YPL212C	8130.0	86	0.157798165138
YPR095C	279.0	255	0.20782396088
YOR310C	34700.0	87	0.169921875
YAL027W	1170.0	42	0.160305343511
YDR017C	1940.0	207	0.196955280685
YIL090W	606.0	98	0.19918699187
YDR016C	799.0	12	0.126315789474
YPR057W	1870.0	39	0.114035087719
YLL032C	922.0	162	0.19612590799
YDR116C	7010.0	42	0.146853146853
YDR122W	279.0	181	0.169953051643
YOL062C	3410.0	79	0.160569105691
YNL234W	195.0	85	0.19906323185
YDL070W	2930.0	127	0.198748043818
YOR241W	7080.0	83	0.151183970856
YLR056W	36200.0	55	0.150273224044
YMR054W	1080.0	153	0.171717171717
YKL110C	5260.0	52	0.165605095541
YNL255C	96700.0	33	0.214285714286
YML097C	4280.0	72	0.159292035398
YKR007W	2740.0	19	0.102702702703
YHR193C	38000.0	20	0.114285714286
YBL099W	41500.0	97	0.177655677656
YGL027C	2840.0	135	0.161870503597
YCL045C	2840.0	152	0.199737187911
YPR115W	300.0	197	0.181734317343
YHR088W	784.0	45	0.152027027027
YBR017C	2130.0	164	0.17845484222
YPR162C	2170.0	103	0.194339622642
YGR166W	1660.0	118	0.210338680927
YJR055W	2730.0	33	0.2
YGL099W	19400.0	112	0.17472698908
YFL030W	339.0	52	0.134715025907
YIL119C	1340.0	105	0.257352941176
YPL193W	259.0	63	0.164921465969
YNL005C	2290.0	72	0.193548387097
YJL144W	149.0	16	0.152380952381
YJR139C	48900.0	75	0.208333333333
YBR133C	1180.0	133	0.160628019324
YBR162C	12300.0	99	0.217105263158
YJL079C	556.0	56	0.186666666667
YGL019W	8120.0	28	0.100358422939
YNL172W	178.0	341	0.194968553459
YPL160W	158000.0	193	0.17690192484
YNL023C	589.0	174	0.180124223602
YDR214W	13900.0	55	0.156695156695
YIL126W	1990.0	229	0.168382352941
YLR295C	6140.0	18	0.144
YHR168W	189.0	61	0.11753371869
YOR064C	861.0	39	0.177272727273
YOR159C	556.0	8	0.0842105263158
YOR130C	432.0	50	0.170648464164
YGL148W	2310.0	39	0.103448275862
YBR282W	2250.0	25	0.170068027211
YDR194C	10300.0	134	0.201503759398
YGR084C	16000.0	44	0.129411764706
YNR030W	3550.0	107	0.19384057971
YIL002C	98.9	169	0.178458289335
YGR159C	77400.0	77	0.185542168675
YLR369W	5550.0	113	0.171732522796
YNL118C	8530.0	171	0.176107106076
YGL228W	8640.0	84	0.145328719723
YJR117W	19600.0	78	0.171806167401
YLR357W	2330.0	133	0.149438202247
YER127W	1430.0	54	0.150837988827
YBL015W	4890.0	71	0.134724857685
YLR017W	4820.0	59	0.174556213018
YBR041W	16900.0	138	0.205970149254
YOR264W	922.0	66	0.15313225058
YBL029C-A	996.0	18	0.189473684211
YGL173C	11700.0	290	0.189666448659
YNL275W	195.0	118	0.204506065858
YAR015W	4280.0	41	0.133550488599
YDR427W	12400.0	75	0.190355329949
YLR079W	768.0	33	0.115789473684
YLR408C	468.0	15	0.121951219512
YMR093W	358.0	97	0.188715953307
YKR066C	6730.0	45	0.124309392265
YDR079W	468.0	20	0.178571428571
YMR268C	672.0	78	0.175280898876
YML070W	23600.0	106	0.181196581197
YPR072W	5110.0	88	0.156862745098
YMR108W	31900.0	111	0.161337209302
YER062C	5000.0	33	0.131474103586
YDR244W	2070.0	98	0.15986949429
YDL137W	25000.0	28	0.153846153846
YGR271W	486.0	359	0.182418699187
YDR233C	37100.0	50	0.168918918919
YGR071C	1050.0	189	0.219512195122
YPR049C	85.5	221	0.187446988974
YPL235W	3030.0	84	0.177966101695
YGL190C	8600.0	115	0.218216318786
YBR110W	1890.0	76	0.168888888889
YDR144C	538.0	125	0.209380234506
