Gene	PolyAHL	HL	UWCounts	UWFrac
YAL008W	12.5	27.5	37	0.185929648241
YBR255W	3.8	8.4	126	0.181294964029
YNL003C	2.4	4.7	57	0.2
YBR135W	4.3	11.1	14	0.0927152317881
YBR160W	11.9	13.5	41	0.137123745819
YKL074C	1.4	2.5	103	0.195075757576
YJL077C	3.6	4.8	23	0.174242424242
YKL096W-A	4.4	27.5	16	0.172043010753
YKL048C	2.2	4.2	133	0.207488299532
YJL179W	2.9	6.3	12	0.109090909091
YKL029C	1.9	4.9	84	0.125373134328
YKL052C	2.6	3.5	46	0.156996587031
YHR025W	5.5	25.3	45	0.125698324022
YOL034W	2.5	4.8	176	0.160877513711
YBL008W	1.8	4.8	148	0.17598097503
YIL062C	8.9	17.3	14	0.0903225806452
YOL116W	17.7	25.0	59	0.154046997389
YDR196C	6.7	14.1	27	0.111570247934
YNR032W	3.8	3.3	53	0.143631436314
YNR045W	4.2	7.3	81	0.165306122449
YML105C	2.6	4.7	44	0.160583941606
YNL288W	3.5	7.0	43	0.114973262032
YIL004C	2.2	7.3	22	0.153846153846
YNR018W	3.6	9.8	23	0.102222222222
YPL144W	1.4	1.9	26	0.174496644295
YFR047C	7.9	24.3	53	0.179054054054
YLR355C	1.4	4.8	60	0.151515151515
YLR300W	1.2	2.7	84	0.187082405345
YCL028W	5.8	40.7	67	0.165024630542
YJR140C	3.5	14.0	304	0.184354154033
YBR043C	2.6	4.9	110	0.159420289855
YLR011W	3.2	4.4	19	0.0989583333333
YHR007C	2.6	5.7	99	0.186440677966
YKR084C	4.1	14.1	98	0.160130718954
YCR046C	2.8	6.1	8	0.0470588235294
YOR266W	2.2	1.3	68	0.160377358491
YDR393W	3.8	6.2	60	0.131291028446
YGL171W	1.9	4.3	104	0.18407079646
YPR194C	2.5	3.6	192	0.21867881549
YGR019W	2.4	6.2	61	0.129237288136
YBL033C	4.3	5.4	43	0.124277456647
YLL057C	6.5	11.1	65	0.157384987893
YNL229C	2.8	5.0	67	0.188732394366
YMR040W	9.2	10.7	28	0.173913043478
YMR266W	2.9	6.1	188	0.197064989518
YPL089C	1.1	2.3	127	0.187592319055
YGR277C	4.1	16.2	40	0.130718954248
YDL139C	2.4	2.3	22	0.0982142857143
YDR246W	7.0	10.6	27	0.122727272727
YOR288C	9.7	14.9	66	0.206896551724
YGL044C	4.0	4.5	48	0.161616161616
YER107C	2.3	3.8	68	0.185792349727
YBR038W	3.7	5.4	180	0.186721991701
YPR016C	1.8	5.0	49	0.19918699187
YOR208W	2.5	4.6	167	0.222370173103
YDL055C	2.3	5.8	59	0.162983425414
YML009C	2.7	3.5	11	0.154929577465
YML072C	4.8	22.7	260	0.168175937904
YFL044C	5.2	23.4	38	0.12582781457
YKL019W	5.2	13.7	39	0.123028391167
YJL130C	4.0	31.2	421	0.19006772009
YBL085W	4.3	7.9	174	0.177370030581
YDR348C	2.7	4.6	98	0.196
YKL182W	2.7	33.8	353	0.172027290448
YDR333C	4.8	7.1	127	0.175414364641
YKL135C	4.4	13.9	112	0.154057771664
YLR363C	6.4	14.3	53	0.24200913242
YLR431C	2.0	3.0	60	0.132158590308
